sequenceID	record_ID	organism	assigned_name	locus_name	virus_genus	locus_numeric_id	sequence_length	assigned_gene	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches	host_species	host_class	host_superorder	host_order	host_family	host_genus
Amazona_aestiva_5176	5176	Amazona_aestiva	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	339	polyprotein	low_coverage	ASM142067v1	GCA_001420675.1_ASM142067v1_genomic.fa	ORF	LMAW01002742.1	668369	668707	339	-	97	59.211	2	27	270	345	7	234	76	0	31	Amazona aestiva	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Amazona_vittata_27315	27315	Amazona_vittata	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	360	polyprotein	low_coverage	AV1	GCA_000332375.1_AV1_genomic.fna	ORF	KB273016.1	7202	7561	360	-	167	67.89	9	54	1	109	34	360	109	0	35	Amazona vittata	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Amazona_vittata_27499	27499	Amazona_vittata	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	327	polyprotein	low_coverage	AV1	GCA_000332375.1_AV1_genomic.fna	ORF	KB275756.1	1744	2070	327	+	152	74.257	7	48	376	476	22	324	101	0	26	Amazona vittata	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Amazona_vittata_27502	27502	Amazona_vittata	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	1431	polyprotein	low_coverage	AV1	GCA_000332375.1_AV1_genomic.fna	ORF	KB238798.1	461	1891	1431	-	236	62.264	1	152	258	469	799	1353	212	3	53	Amazona vittata	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Amazona_vittata_27503	27503	Amazona_vittata	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	384	polyprotein	low_coverage	AV1	GCA_000332375.1_AV1_genomic.fna	ORF	AOCU01023052.1	1632	2015	384	-	119	63.953	3	35	354	439	127	384	86	0	31	Amazona vittata	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Amazona_vittata_5181	5181	Amazona_vittata	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	305	polyprotein	low_coverage	AV1	GCA_000332375.1_AV1_genomic.fna	ORF	KB272149.1	7604	7908	305	-	84	66.667	6	23	289	345	30	200	57	0	19	Amazona vittata	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Amazona_vittata_5187	5187	Amazona_vittata	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	201	polyprotein	low_coverage	AV1	GCA_000332375.1_AV1_genomic.fna	ORF	KB272671.1	17418	17618	201	+	91	75.862	6	26	84	138	25	198	58	1	11	Amazona vittata	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Ara_macao_2146	2146	Ara_macao	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	306	polyprotein	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	ORF	KE094380.1	8020	8325	306	-	82	69.643	3	22	290	345	34	201	56	0	17	Ara macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara
Ara_macao_27332	27332	Ara_macao	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	375	polyprotein	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	ORF	KE008458.1	28205	28579	375	+	156	64.22	2	49	1	109	4	330	109	0	39	Ara macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara
Ara_macao_27522	27522	Ara_macao	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	1454	polyprotein	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	ORF	KE020025.1	1866	3319	1454	+	348	75.486	4	118	1	257	31	795	257	2	61	Ara macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara
Ara_macao_27524	27524	Ara_macao	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	234	polyprotein	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	ORF	KE013572.1	1322	1555	234	+	111	69.231	2	33	322	399	1	234	78	0	24	Ara macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara
Ara_macao_27527	27527	Ara_macao	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	400	polyprotein	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	ORF	KE088955.1	8644	9043	400	+	129	69.88	9	49	344	426	19	267	83	0	25	Ara macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara
Ara_macao_27528	27528	Ara_macao	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	392	polyprotein	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	ORF	KE083745.1	51	442	392	+	132	71.91	2	40	279	367	21	287	89	0	25	Ara macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara
Ara_macao_5215	5215	Ara_macao	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	204	polyprotein	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	ORF	KE033980.1	13498	13701	204	+	92	74.576	2	26	84	139	28	204	59	1	12	Ara macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara
Ara_macao_5224	5224	Ara_macao	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	300	polyprotein	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	ORF	KE095964.1	2725	3024	300	-	96	68.182	2	27	81	146	103	300	66	0	21	Ara macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara
Eupsittula_pertinax_28527	28527	Eupsittula_pertinax	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	237	polyprotein	low_coverage	ASM1131718v1	GCA_011317185.1_ASM1131718v1_genomic.fna	ORF	WUQE01008238.1	3566	3802	237	+	112	68.354	1	33	322	400	1	237	79	0	25	Eupsittula pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula
Eupsittula_pertinax_28531	28531	Eupsittula_pertinax	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	306	polyprotein	low_coverage	ASM1131718v1	GCA_011317185.1_ASM1131718v1_genomic.fna	ORF	WUQE01007556.1	208226601	208226906	306	-	82	69.643	3	22	290	345	34	201	56	0	17	Eupsittula pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula
Eupsittula_pertinax_28536	28536	Eupsittula_pertinax	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	362	polyprotein	low_coverage	ASM1131718v1	GCA_011317185.1_ASM1131718v1_genomic.fna	ORF	WUQE01000756.1	76167514	76167875	362	+	131	70.787	7	40	279	367	45	311	89	0	26	Eupsittula pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula
Eupsittula_pertinax_28646	28646	Eupsittula_pertinax	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	1455	polyprotein	low_coverage	ASM1131718v1	GCA_011317185.1_ASM1131718v1_genomic.fna	ORF	WUQE01000756.1	12694630	12696084	1455	-	405	53.719	2	140	1	469	31	1425	484	11	190	Eupsittula pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula
Eupsittula_pertinax_28647	28647	Eupsittula_pertinax	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	463	polyprotein	low_coverage	ASM1131718v1	GCA_011317185.1_ASM1131718v1_genomic.fna	ORF	WUQE01020095.1	1197	1659	463	-	130	67.47	3	48	354	436	19	267	83	0	27	Eupsittula pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula
Eupsittula_pertinax_28654	28654	Eupsittula_pertinax	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	204	polyprotein	low_coverage	ASM1131718v1	GCA_011317185.1_ASM1131718v1_genomic.fna	ORF	WUQE01000756.1	66400396	66400599	204	-	91	72.881	7	26	84	139	28	204	59	1	13	Eupsittula pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula
Eupsittula_pertinax_28657	28657	Eupsittula_pertinax	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	375	polyprotein	low_coverage	ASM1131718v1	GCA_011317185.1_ASM1131718v1_genomic.fna	ORF	WUQE01009895.1	3982	4356	375	+	156	64.22	2	49	1	109	4	330	109	0	39	Eupsittula pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula
Eupsittula_pertinax_28658	28658	Eupsittula_pertinax	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	300	polyprotein	low_coverage	ASM1131718v1	GCA_011317185.1_ASM1131718v1_genomic.fna	ORF	WUQE01030853.1	3697	3996	300	-	96	68.182	2	27	81	146	103	300	66	0	21	Eupsittula pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula
Guaruba_guarouba_27711	27711	Guaruba_guarouba	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	306	polyprotein	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	ORF	JAABOC010006378.1	53552638	53552943	306	-	82	69.643	3	22	290	345	34	201	56	0	17	Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Guaruba_guarouba_28544	28544	Guaruba_guarouba	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	234	polyprotein	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	ORF	JAABOC010006378.1	341040480	341040713	234	-	112	69.231	1	33	322	399	1	234	78	0	24	Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Guaruba_guarouba_28552	28552	Guaruba_guarouba	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	416	polyprotein	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	ORF	JAABOC010000638.1	23611514	23611929	416	-	132	71.91	5	40	279	367	45	311	89	0	25	Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Guaruba_guarouba_28661	28661	Guaruba_guarouba	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	336	polyprotein	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	ORF	JAABOC010003445.1	25132	25467	336	+	155	73.267	3	49	366	466	31	333	101	0	27	Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Guaruba_guarouba_28663	28663	Guaruba_guarouba	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	400	polyprotein	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	ORF	JAABOC010006378.1	63709653	63710052	400	+	129	67.47	4	48	354	436	19	267	83	0	27	Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Guaruba_guarouba_28671	28671	Guaruba_guarouba	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	210	polyprotein	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	ORF	JAABOC010028778.1	4666136	4666345	210	+	93	68.182	7	27	81	146	13	210	66	0	21	Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Guaruba_guarouba_28673	28673	Guaruba_guarouba	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	204	polyprotein	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	ORF	JAABOC010007843.1	2237	2440	204	-	91	72.881	7	26	84	139	28	204	59	1	13	Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Guaruba_guarouba_28675	28675	Guaruba_guarouba	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	375	polyprotein	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	ORF	JAABOC010012511.1	2164	2538	375	+	156	64.22	2	49	1	109	4	330	109	0	39	Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Guaruba_guarouba_28678	28678	Guaruba_guarouba	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	1457	polyprotein	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	ORF	JAABOC010000065.1	5869459	5870915	1457	-	334	73.541	1	112	1	257	31	795	257	1	66	Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Melopsittacus_undulatus_27409	27409	Melopsittacus_undulatus	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	453	polyprotein	low_coverage	goldenpath_melUnd1	melUnd1.fa_3.fa	ORF	JH556627	4262359	4262811	453	+	234	83.453	7	79	1	139	31	447	139	0	23	Melopsittacus undulatus	Aves	Neognathae	Psittaciformes	Psittaculidae	Melopsittacus
Melopsittacus_undulatus_27614	27614	Melopsittacus_undulatus	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	305	polyprotein	low_coverage	goldenpath_melUnd1	melUnd1.fa_2.fa	ORF	JH556609	6157077	6157381	305	-	90	60.811	2	25	267	340	3	224	74	0	29	Melopsittacus undulatus	Aves	Neognathae	Psittaciformes	Psittaculidae	Melopsittacus
Melopsittacus_undulatus_27615	27615	Melopsittacus_undulatus	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	321	polyprotein	low_coverage	goldenpath_melUnd1	melUnd1.fa_2.fa	ORF	JH556617	33035964	33036284	321	+	126	61.321	3	38	320	425	1	315	106	1	40	Melopsittacus undulatus	Aves	Neognathae	Psittaciformes	Psittaculidae	Melopsittacus
Melopsittacus_undulatus_5324	5324	Melopsittacus_undulatus	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	276	polyprotein	low_coverage	goldenpath_melUnd1	melUnd1.fa_1.fa	ORF	JH556527	1010567	1010842	276	-	90	75.439	2	25	289	345	25	195	57	0	14	Melopsittacus undulatus	Aves	Neognathae	Psittaciformes	Psittaculidae	Melopsittacus
Melopsittacus_undulatus_5329	5329	Melopsittacus_undulatus	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	258	polyprotein	low_coverage	goldenpath_melUnd1	melUnd1.fa_2.fa	ORF	JH556615	26715519	26715776	258	+	81	68	4	23	29	78	40	189	50	0	16	Melopsittacus undulatus	Aves	Neognathae	Psittaciformes	Psittaculidae	Melopsittacus
Melopsittacus_undulatus_5335	5335	Melopsittacus_undulatus	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	360	polyprotein	low_coverage	goldenpath_melUnd1	melUnd1.fa_2.fa	ORF	JH556617	15208619	15208978	360	-	136	65.347	8	42	50	150	31	333	101	0	35	Melopsittacus undulatus	Aves	Neognathae	Psittaciformes	Psittaculidae	Melopsittacus
Nestor_notabilis_27420	27420	Nestor_notabilis	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	486	polyprotein	low_coverage	bgi_2011-10-28	Nestor_notabilis.scaf.noBacterial.fa	ORF	C14828811	242	727	486	+	297	90.123	4	103	1	162	1	486	162	0	16	Nestor notabilis	Aves	Neognathae	Psittaciformes	Psittacidae	Nestor
Nestor_notabilis_27626	27626	Nestor_notabilis	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	609	polyprotein	low_coverage	bgi_2011-10-28	Nestor_notabilis.scaf.noBacterial.fa	ORF	scaffold33418	4818	5426	609	-	296	84.653	4	102	278	479	1	606	202	0	31	Nestor notabilis	Aves	Neognathae	Psittaciformes	Psittacidae	Nestor
Pionus_senilis_28569	28569	Pionus_senilis	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	306	polyprotein	low_coverage	ASM1176272v1	GCA_011762725.1_ASM1176272v1_genomic.fna	ORF	WURU01677776.1	29469111	29469416	306	+	107	68	2	31	361	435	1	225	75	0	24	Pionus senilis	Aves	Neognathae	Psittaciformes	Psittacidae	Pionus
Pionus_senilis_28571	28571	Pionus_senilis	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	324	polyprotein	low_coverage	ASM1176272v1	GCA_011762725.1_ASM1176272v1_genomic.fna	ORF	WURU01067777.1	159673617	159673940	324	-	145	72.277	2	45	366	466	19	321	101	0	28	Pionus senilis	Aves	Neognathae	Psittaciformes	Psittacidae	Pionus
Pionus_senilis_28574	28574	Pionus_senilis	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	389	polyprotein	low_coverage	ASM1176272v1	GCA_011762725.1_ASM1176272v1_genomic.fna	ORF	WURU01031623.1	1977	2365	389	-	139	61.404	8	43	277	390	3	344	114	0	44	Pionus senilis	Aves	Neognathae	Psittaciformes	Psittacidae	Pionus
Pionus_senilis_28697	28697	Pionus_senilis	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	1426	polyprotein	low_coverage	ASM1176272v1	GCA_011762725.1_ASM1176272v1_genomic.fna	ORF	WURU01067777.1	62405198	62406623	1426	-	286	63.177	3	159	203	479	599	1348	277	3	75	Pionus senilis	Aves	Neognathae	Psittaciformes	Psittacidae	Pionus
Pionus_senilis_28702	28702	Pionus_senilis	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	234	polyprotein	low_coverage	ASM1176272v1	GCA_011762725.1_ASM1176272v1_genomic.fna	ORF	WURU01067777.1	45071902	45072135	234	+	122	67.105	2	37	1	76	7	234	76	0	25	Pionus senilis	Aves	Neognathae	Psittaciformes	Psittacidae	Pionus
Psittacula_krameri_27443	27443	Psittacula_krameri	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	381	polyprotein	low_coverage	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	ORF	NFZL01000304.1	1473977	1474357	381	+	171	69.091	4	55	1	110	25	354	110	0	34	Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Psittacula_krameri_27656	27656	Psittacula_krameri	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	389	polyprotein	low_coverage	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	ORF	NFZL01001089.1	219510	219898	389	+	106	69.863	2	42	361	433	40	258	73	0	22	Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Psittacula_krameri_27657	27657	Psittacula_krameri	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	410	polyprotein	low_coverage	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	ORF	NFZL01001623.1	658598	659007	410	-	139	65.347	7	43	267	367	3	305	101	0	35	Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Psittacula_krameri_27658	27658	Psittacula_krameri	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	372	polyprotein	low_coverage	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	ORF	NFZL01001175.1	1087888	1088259	372	-	157	71.845	1	49	327	429	64	372	103	0	29	Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Psittacula_krameri_27659	27659	Psittacula_krameri	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	1473	polyprotein	low_coverage	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	ORF	NFZL01000110.1	1915284	1916756	1473	+	511	62.687	0	1	1	469	31	1428	469	2	172	Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Psittacula_krameri_27661	27661	Psittacula_krameri	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	233	polyprotein	low_coverage	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	ORF	NFZL01000715.1	1416887	1417119	233	-	92	78.571	2	26	328	383	57	224	56	0	12	Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Psittacula_krameri_27663	27663	Psittacula_krameri	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	303	polyprotein	low_coverage	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	ORF	NFZL01001851.1	240356	240658	303	+	154	74.257	4	49	376	476	1	303	101	0	26	Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Psittacula_krameri_27664	27664	Psittacula_krameri	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	410	polyprotein	low_coverage	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	ORF	NFZL01014325.1	103	512	410	+	138	65.347	3	42	267	367	3	305	101	0	35	Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Psittacula_krameri_4711	4711	Psittacula_krameri	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	291	polyprotein	low_coverage	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	ORF	NFZL01000451.1	1837953	1838243	291	-	94	61.972	1	26	83	153	67	279	71	0	27	Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Strigops_habroptila_28083	28083	Strigops_habroptila	ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	23	1464	polyprotein	low_coverage	bStrHab1_v1	GCA_004011185.1_bStrHab1_v1.h_genomic.fna	ORF	RXXF01003473.1	47937	49400	1464	-	991	100	0	1	1	479	25	1461	479	0	0	Strigops_habroptila	Aves	Neognathae	Psittaciformes	Strigopidae	Strigops
Apaloderma_vittatum_5202	5202	Apaloderma_vittatum	ehbv-avi.24-apaloderma	avi.24-apaloderma	Avihepadnavirus	24	1862	polyprotein	low_coverage	bgi_2011-10-28	Apaloderma_vittatum.scaf.noBacterial.fa	ORF	scaffold18931	141042	142903	1862	+	343	78.367	0	1	303	545	1125	1856	245	2	50	Apaloderma vittatum	Aves	Neognathae	Trogoniformes	Trogonidae	Apaloderma
Chaetura_pelagica_27545	27545	Chaetura_pelagica	ehbv-avi.25-chaetura	avi.25-chaetura	Avihepadnavirus	25	2804	polyprotein	low_coverage	bgi_2011-10-28	Chaetura_pelagica.scaf.noBacterial.fa	ORF	scaffold83	3251862	3254665	2804	-	813	85.064	0	1	1	546	1140	2786	549	3	79	Chaetura pelagica	Aves	Neognathae	Apodiformes	Apodidae	Chaetura
Amazona_vittata_4843	4843	Amazona_vittata	ehbv-avi.26-psittaciformes	avi.26-psittaciformes	Avihepadnavirus	26	713	polyprotein	low_coverage	AV1	GCA_000332375.1_AV1_genomic.fna	ORF	KB257602.1	7397	8109	713	-	356	100	1	134	65	236	195	710	172	0	0	Amazona vittata	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Ara_macao_4870	4870	Ara_macao	ehbv-avi.26-psittaciformes	avi.26-psittaciformes	Avihepadnavirus	26	279	polyprotein	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	ORF	KE083073.1	3729	4007	279	+	164	86.813	1	55	1	91	7	279	91	0	12	Ara macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara
Eupsittula_pertinax_28644	28644	Eupsittula_pertinax	ehbv-avi.26-psittaciformes	avi.26-psittaciformes	Avihepadnavirus	26	279	polyprotein	low_coverage	ASM1131718v1	GCA_011317185.1_ASM1131718v1_genomic.fna	ORF	WUQE01002925.1	14051	14329	279	-	160	83.516	7	54	1	91	7	279	91	0	15	Eupsittula pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula
Guaruba_guarouba_28672	28672	Guaruba_guarouba	ehbv-avi.26-psittaciformes	avi.26-psittaciformes	Avihepadnavirus	26	333	polyprotein	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	ORF	JAABOC010001571.1	25570	25902	333	+	173	84.694	2	58	1	98	7	300	98	0	15	Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Melopsittacus_undulatus_4946	4946	Melopsittacus_undulatus	ehbv-avi.26-psittaciformes	avi.26-psittaciformes	Avihepadnavirus	26	345	polyprotein	low_coverage	goldenpath_melUnd1	melUnd1.fa_2.fa	ORF	JH556616	11289174	11289518	345	+	139	72.043	4	45	5	97	1	279	93	0	26	Melopsittacus undulatus	Aves	Neognathae	Psittaciformes	Psittaculidae	Melopsittacus
Pionus_senilis_28701	28701	Pionus_senilis	ehbv-avi.26-psittaciformes	avi.26-psittaciformes	Avihepadnavirus	26	528	polyprotein	low_coverage	ASM1176272v1	GCA_011762725.1_ASM1176272v1_genomic.fna	ORF	WURU01067777.1	348842321	348842848	528	-	131	70.968	5	41	138	230	1	279	93	0	27	Pionus senilis	Aves	Neognathae	Psittaciformes	Psittacidae	Pionus
Psittacula_krameri_27445	27445	Psittacula_krameri	ehbv-avi.26-psittaciformes	avi.26-psittaciformes	Avihepadnavirus	26	294	polyprotein	low_coverage	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	ORF	NFZL01001434.1	76025	76318	294	+	128	75.581	4	41	6	91	4	261	86	0	21	Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Psittacula_krameri_4134	4134	Psittacula_krameri	ehbv-avi.26-psittaciformes	avi.26-psittaciformes	Avihepadnavirus	26	664	polyprotein	low_coverage	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	ORF	NFZL01001103.1	370563	371226	664	+	202	76.515	8	73	65	195	269	664	132	1	30	Psittacula krameri	Aves	Neognathae	Psittaciformes	Psittacidae	Psittacula
Nannopterum_brasilianus_2622	2622	Nannopterum_brasilianus	ehbv-avi.27-phalacrocoracidae-con	avi.27-phalacrocoracidae	Avihepadnavirus	27	228	polyprotein	low_coverage	ASM210954v1	GCA_002174335.1_ASM217433v1_genomic.fna	ORF	NFME01001137.1	749425	749652	228	+	120	83.562	3	40	24	96	1	219	73	0	12	Nannopterum brasilianus	Aves	Neognathae	Pelecaniformes	Phalacrocoracidae	Nannopterum
Nannopterum_brasilianus_2660	2660	Nannopterum_brasilianus	ehbv-avi.27-phalacrocoracidae-con	avi.27-phalacrocoracidae	Avihepadnavirus	27	294	polyprotein	low_coverage	ASM210954v1	GCA_002174335.1_ASM217433v1_genomic.fna	ORF	NFME01007744.1	4802	5095	294	-	152	80	2	52	2	96	1	285	95	0	19	Nannopterum brasilianus	Aves	Neognathae	Pelecaniformes	Phalacrocoracidae	Nannopterum
Nannopterum_brasilianus_2675	2675	Nannopterum_brasilianus	ehbv-avi.27-phalacrocoracidae-con	avi.27-phalacrocoracidae	Avihepadnavirus	27	264	polyprotein	low_coverage	ASM210954v1	GCA_002174335.1_ASM217433v1_genomic.fna	ORF	NFME01069831.1	594	857	264	-	112	86.25	2	36	17	96	1	240	80	0	11	Nannopterum brasilianus	Aves	Neognathae	Pelecaniformes	Phalacrocoracidae	Nannopterum
